userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,reply_count,toplevel_count,reply_ratio
UC--4DvGTRQZ-4d7MisTbUAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC--7cQ0Eyu1VkxYqXJCsbNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC--DU0CsV6WdOT73XBTnHLg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC--FsVX4q4Ek_2DD89J5cOg,-0.00902758103913694,0.0,0.0,0.0,-4.230628120126733,1.5509611961061052,0.9453251391251905,0.0,0.0,3.0,0.0
UC--bCKm3Hsc6gEf8NKpFe7g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0
UC--gTrWuPS3KYZFDONGq6kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0
UC-01R4nRB2Rrrt2_pTVFoJQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-0OAnhf5CDdpjD5L2KiaPw,-0.0074498233688618295,0.0,0.0,0.0,0.8260693445074132,-0.8717177011301414,-0.48346219742849783,0.0,2.0,0.0,4.0
UC-0_eQAKqJRTeQChMRJwEag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-0pWwNjW7zkZnKz0If4z9g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-0tUxQng_4Daz9jdEfY54w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-1TvknQW7spHCqC1hSq77A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-1YF8d0KYSg3ksrpQJi3Kw,0.01735957725468416,0.0,0.0,0.0,-12.50275343564607,-1.3470174992765902,-0.7189210200296376,0.0,0.0,3.0,0.0
UC-1ZkVfmgB1zY9flYWOyjOQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-21uGGLcKJC5_lzrtkPzSQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.0
UC-2_8w8gwVT2w9uzu3tFxCw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0
UC-2nfYlWwO0j7rcRWs9oqoA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-2pFMc1W2qD3it0hjPtAfA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-36p3v7z3QX7k8n0aBucqQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.0
UC-374lAtZmEeid8yGhQUWcQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-378lhkBKia0p4hzItjGvw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-39vniQDl36kjU9USR7cIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-3Nj6oYW1QqHjBmm3iL-oQ,0.032070278387488875,0.0,0.0,0.0,-5.743658222777279,0.5523889567234712,0.33884683201194266,0.0,1.0,22.0,0.16666666666666666
UC-3PP_G2wsXPI0In8hr1z4A,0.007261021749928539,0.0,0.0,0.0,4.667012274809032,-1.1523482731768726,-0.15981351294066926,1.0,1.0,5.0,0.5714285714285714
UC-3kkk3jlqPWEapYwTzFhXw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-3rwZnz8xmpX4wByAA5CQw,0.02166874991242663,0.0,0.4054651081081643,1.0986122886681096,-11.393869354949,-0.4816870508583482,-1.2635234979720837,0.0,0.0,4.0,0.0
UC-3vP3XFcD_hM8WWgi6quCQ,-0.0024386538781471295,0.0,0.0,0.0,-7.173930655492586,-0.8717177011301409,-0.4834621974284987,0.0,0.0,2.0,0.0
UC-4-j8jAJPec9pSjF3Bjzbg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,8.0
UC-47Mxptk_IyE7KL9S3FkYw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.0
UC-4JFXwbKLjHEpRYu22yROQ,0.065486846616257,0.0,0.0,0.0,-11.900953760162396,0.15813391833591028,0.2063225070333825,0.0,7.0,-2.0,0.0
UC-4KJek2zj4lpC2PPikPzaA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-4SmyuWI7mQ2wl3LsVuAvQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-4ydC2QlcJTD8PEsMiYkLw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
UC-54BXyF5UMYv5EzM3964ug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-5Q-pFWWe6reNeew2j6ZSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-69k83iuSghUzoBIrEUJFg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-7-qCkA4GVQznRkXeop4Lw,0.2766053014287506,0.0,0.0,0.0,4.673883224250524,0.9570250828030806,0.14032215798225933,0.0,26.0,-2.0,0.0
UC-7CIXc_4nGyjB2r6fFZQBA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-7CsrBveGCDiDQtCSi75NA,0.16833116224357006,0.0,0.0,0.0,4.731804153116638,-1.5131054278747578,-1.1334390585153382,0.0,8.0,-2.0,0.0
UC-7UGGUfegIlYvAMQEEZoWA,-0.004027764041594553,0.0,0.4054651081081643,1.0986122886681096,9.106130645050996,-1.9816870508583446,-1.2635234979720842,1.0,0.0,3.0,0.0
UC-7Yza7eQZNVilcf5VkxOaQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-7j_ne79CMptwrRukgenqA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,8.0
UC-7lXSETxxpPPgGjWEUC2SA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-7uG90CiWhRWy_ogbNo_MQ,0.01831040396125003,0.0,0.0,0.0,-5.649439558838385,-0.7316870508583482,-0.8552245434932704,1.0,1.0,1.0,1.3333333333333333
UC-8JKGrT19vvhAvsSxAYjSQ,-0.008578167029416087,0.0,0.0,0.0,5.955055010359246,1.182752325526188,-0.5041675839101594,1.0,0.0,5.0,0.0
UC-8NbyEykEYg3xW_vtZrtcA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-8SI97g7bH6iCOyRhC6Emg,-0.006107322518162478,0.0,0.0,0.0,-11.226351669991166,-1.5375262791776263,-1.0905119768955738,1.0,1.0,3.0,0.8
UC-8Xx4PI73fOH1s07hm_vzQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-8rxZagP5y0_-CcRMDtlqg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-9o-872tgbuX5goaaBeYtQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-9oSS0x2AoD2EC2WWP6XgA,0.15432974701300944,0.0,0.0,0.0,-3.2183896988571785,0.1534088803600162,0.15812637125635742,0.0,0.0,3.0,0.0
UC-AAsyvqCmt4FS4x02OFxxQ,-0.00794296715866836,0.0,0.0,0.0,-11.649666188248705,-1.2692713952781316,-0.2878236952276434,2.0,11.0,2.0,11.0
UC-ACKjUzzYTuMxA18_aa36g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-AZ3KhlWTfFo_9meGuLBWg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-AbeGBC9-f2huFbou2g-zQ,0.041271838348124805,0.0,0.0,0.0,8.50557877847725,-1.501797424173098,-1.1533744469287002,0.0,5.0,-2.0,0.0
UC-AiWddoDggEidf6GNTes5w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-B0C80v9mcemir2IgpfQlw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-B97mdpY4nQf6U5g5sLgAw,0.006270516721815514,0.0,0.0,0.0,4.596789053123008,0.11270799398485654,1.352040077388867,0.0,2.0,1.0,2.6666666666666665
UC-BGT1Bg2QX_FMUNivWqQeg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,0.0
UC-BU1Oft2db2OJGvjJu0cVQ,0.03138158168531023,0.0,0.0,0.0,5.130210205372446,-0.6563802376321637,-0.7222564555153728,0.0,3.0,1.0,4.0
UC-BeVcfJS5bPp-mWbcGJRog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-BgXgeAOgwBY34MDqB3xKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-BhnDPxLQzbIU8BV7PpSzg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,4.0
UC-C7OoROHyu1tUldSZD59mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-CB1S6wwHZacXi57CThu0Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-CO8ok1Qb3bGi_l4e9gONQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-Cd3N2CH6wRDO2YI9WMR3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-D65FBQWkA68DC1qRjgdYw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-Dn-5GMg7c61a1X-NY5LvA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-Dso8HOjmeoJUMIyHBTXXQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-DzA7sWAtUGVk-hc9Gp0AA,-0.007876001433040049,0.0,0.0,0.0,5.671499583984559,0.050997418608431655,0.5947131128318521,0.0,1.0,1.0,1.3333333333333333
UC-DzUEHekoMRrXYb8MFNTtg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0
UC-E0qLHw1pPnXuMpvl6K5Mw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UC-E9CU2i6IstxoKfBBPoTCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC-EAY0aRbAk3--6vaYttsRA,0.06666183929138986,0.0,0.0,0.0,9.355055122528853,-1.6072248121194215,-1.0124479754499376,0.0,2.0,0.0,4.0
UC-EBT81MaslN-T2wZ8_-WZw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
