feature,dtype,count,null_count,null_pct,mean,std,min,max,median
latency_variance_score,float64,51649,0,0.00%,0.015416627258583398,0.13256865088835812,-0.007356001443681571,7.534236736598045,0.0
unique_comment_ratio,float64,51649,0,0.00%,-0.004540946881162977,0.03495649093593627,-0.6783320947748046,0.0,0.0
max_duplicate_count,float64,51649,0,0.00%,0.01930715648424809,0.1308230628544738,0.0,3.5263605246161616,0.0
total_duplicates,float64,51649,0,0.00%,0.04403055689979597,0.2725151485308632,0.0,4.290459441148391,0.0
circular_mean_hour,float64,51649,0,0.00%,-0.5827637577833987,4.363781103849272,-14.751075522522143,9.248924477477857,0.0
mean_hour_deviance,float64,51649,0,0.00%,0.002884895307552881,0.8014758468437844,-2.334798497624676,4.0652015023753245,0.0
std_hour_deviance,float64,51649,0,0.00%,0.05292192765941928,0.7638867940328292,-1.6476453172695618,4.925025372792429,0.0
unique_channel_count,float64,51649,0,0.00%,0.16182307498693102,0.48019727952437324,0.0,5.0,0.0
reply_count,float64,51649,0,0.00%,0.9632132277488431,3.129578755676022,0.0,86.0,0.0
toplevel_count,float64,51649,0,0.00%,0.8280896048326202,3.156985035632101,-2.0,99.0,0.0
reply_ratio,float64,51649,0,0.00%,2.233090903035851,8.767074560966918,0.0,390.0,0.0
