userId,umap_1,umap_2
UC--4DvGTRQZ-4d7MisTbUAA,-10.683015,12.142142
UC--7cQ0Eyu1VkxYqXJCsbNQ,-10.262055,11.065513
UC--DU0CsV6WdOT73XBTnHLg,3.5312293,14.449232
UC--FsVX4q4Ek_2DD89J5cOg,11.940374,1.7145331
UC--bCKm3Hsc6gEf8NKpFe7g,-1.917433,-14.5191
UC--gTrWuPS3KYZFDONGq6kg,4.2072105,-20.268866
UC-01R4nRB2Rrrt2_pTVFoJQ,-7.73418,9.9464445
UC-0OAnhf5CDdpjD5L2KiaPw,16.918684,-16.4732
UC-0_eQAKqJRTeQChMRJwEag,-7.254029,10.268302
UC-0pWwNjW7zkZnKz0If4z9g,-9.855296,11.824419
UC-0tUxQng_4Daz9jdEfY54w,-10.113407,9.33866
UC-1TvknQW7spHCqC1hSq77A,4.138928,15.233819
UC-1YF8d0KYSg3ksrpQJi3Kw,6.3757396,-1.9245745
UC-1ZkVfmgB1zY9flYWOyjOQ,-11.871263,12.012685
UC-21uGGLcKJC5_lzrtkPzSQ,-3.6372092,-7.794702
UC-2_8w8gwVT2w9uzu3tFxCw,-1.551327,-14.032262
UC-2nfYlWwO0j7rcRWs9oqoA,-9.014182,10.193015
UC-2pFMc1W2qD3it0hjPtAfA,-11.907686,11.876291
UC-36p3v7z3QX7k8n0aBucqQ,-2.6396923,-7.5036097
UC-374lAtZmEeid8yGhQUWcQ,-6.704465,9.541371
UC-378lhkBKia0p4hzItjGvw,-9.684276,12.156938
UC-39vniQDl36kjU9USR7cIA,3.0603626,14.902368
UC-3Nj6oYW1QqHjBmm3iL-oQ,10.788682,1.1562294
UC-3PP_G2wsXPI0In8hr1z4A,8.745438,8.273085
UC-3kkk3jlqPWEapYwTzFhXw,-7.844145,10.528274
UC-3rwZnz8xmpX4wByAA5CQw,7.4805694,-1.0147783
UC-3vP3XFcD_hM8WWgi6quCQ,17.996431,-4.611482
UC-4-j8jAJPec9pSjF3Bjzbg,4.9697514,-8.329033
UC-47Mxptk_IyE7KL9S3FkYw,-2.775799,-9.48214
UC-4JFXwbKLjHEpRYu22yROQ,8.219092,-2.076338
UC-4KJek2zj4lpC2PPikPzaA,-8.123722,9.166008
UC-4SmyuWI7mQ2wl3LsVuAvQ,3.9403756,13.994398
UC-4ydC2QlcJTD8PEsMiYkLw,2.0394592,-2.9611287
UC-54BXyF5UMYv5EzM3964ug,-9.683525,10.746988
