userId,umap_1,umap_2
UC--FsVX4q4Ek_2DD89J5cOg,10.458279,2.7481663
UC-1YF8d0KYSg3ksrpQJi3Kw,8.23887,9.910575
UC-3Nj6oYW1QqHjBmm3iL-oQ,7.469755,7.9363856
UC-3PP_G2wsXPI0In8hr1z4A,7.3174305,2.8319938
UC-3rwZnz8xmpX4wByAA5CQw,-0.25042942,-0.3647079
UC-4JFXwbKLjHEpRYu22yROQ,7.981736,9.008023
UC-7-qCkA4GVQznRkXeop4Lw,1.2026016,2.8798606
UC-7CsrBveGCDiDQtCSi75NA,3.3328242,4.7965326
UC-7UGGUfegIlYvAMQEEZoWA,6.269325,3.5632665
UC-8JKGrT19vvhAvsSxAYjSQ,9.583155,1.8880202
UC-8SI97g7bH6iCOyRhC6Emg,8.233815,9.496571
UC-9oSS0x2AoD2EC2WWP6XgA,7.203777,0.53687453
UC-AAsyvqCmt4FS4x02OFxxQ,7.360152,8.650169
UC-AbeGBC9-f2huFbou2g-zQ,4.4936833,3.51201
UC-B97mdpY4nQf6U5g5sLgAw,9.57573,2.8509905
UC-BU1Oft2db2OJGvjJu0cVQ,7.160903,3.357497
UC-E_u0tONL7jX233EX8yy1A,5.43313,1.4347485
UC-EzdIsompamqS86hM6BoFw,12.01448,1.52633
UC-ISj9vvmY4p2GaXHlCJrtw,11.569675,1.857769
UC-JVRGWnjzZuEGi88c9eLAA,10.691411,2.1867325
UC-LDOX6xdSyeUiFMggIRC0w,0.5282548,3.1092582
UC-NuZui4n3wDtTmgMBKT9Sg,7.1357145,8.153515
UC-Nw5S0c6bq3ldlu9CT-GHw,13.301694,6.364515
UC-OYdlMvgSQIzV9mhqVLnRg,2.6993628,4.9056997
UC-PDPi-5c3jTo6E1lizbJFg,10.52862,4.8350663
UC-PETw1P1_voShih9WRmkMg,9.857468,9.181462
UC-RAnK0D2x7DewvatyRqcHQ,12.796374,3.6054184
UC-S7pAVa8NuLbGZRT--xCBg,7.171612,3.3454106
UC-T9vpeDnjGxmKSzIiM920A,12.281987,2.5770812
UC-TdHGwX918DS0qknMVDUUQ,9.396612,1.2577822
UC-UGpuEQAvfwbzcdAWvBLeA,7.6291776,3.7997189
UC-W82dsdqQfqgyuHRSalQBw,9.979664,9.141622
UC-WgwqxLnjpffl0hPn3hS-g,3.4346585,4.455235
UC-XCNEk1uZcaM4h-rNp-3cw,7.5464225,9.946493
UC-XFuI62LLtCjTXM2Kd74Xg,6.629311,4.547117
UC-XRuhdgwtAU3ZPyHp8v3ZA,8.269568,9.930691
UC-XwCzDwf3LWXpkMYHQ2RlQ,6.711564,2.9370728
UC-ZDi9r-41GiPdxTe3HwebA,12.26985,8.300588
UC-_rI_t4-KRvrbgWFEZa5uA,12.2845955,8.298739
UC-aQ1VwwK6EsHxkO2s4MQ1Q,8.940935,1.3378949
UC-bNysdfGc8M00JORt9wFSw,9.588364,2.9771461
UC-bPEgY4UCenObQ02iWK0cQ,11.461171,2.1697416
UC-bu3cnBZmFtmOd3JOlhtng,4.221696,3.7917817
UC-dRtPqdUtIYwsYfxnp_t4g,11.979843,6.240865
UC-dXrO29mz1F846RHJAPS-Q,0.9586064,-0.39477524
UC-dtn_v6-lmpa6j7Vwl-BgQ,8.622872,10.016575
UC-edhzZuiP2P19s_tu88CQg,3.5936139,4.9890146
UC-gCpMc94-3CWd9MJw107_w,6.54407,2.0934072
UC-h6mJDreiBJG8fPtQ3OA-g,8.454178,0.74402577
UC-jznjjSTKr15h65W95yDoA,12.306321,3.5387957
UC-k-axvrivMCH12r4Lg9tbQ,0.6717254,0.34636256
UC-k0fXW2TZgXNyZiAPK_AQQ,3.0679433,4.339662
UC-kAVBFQAr54Etg76uska7g,5.4250426,1.395221
UC-kEpkvZNXjfm0eeLljdiPw,6.232182,3.607408
UC-mWbS71hcXLB0jOqv8-Z7Q,-0.5968669,1.4265802
UC-mwgFQEo2PS0IGEHAJpoYg,12.449335,3.920148
UC-nf2ZdwpfjBQYW79Gi1AHA,4.3551626,3.7709243
UC-nyyAcb8rt4vTYr2HbMUAg,5.02174,8.799887
UC-p42GezfAlIR-YMhvst8jg,12.896472,6.2498775
UC-pSt_GMFA_b-owUKoE8KOw,7.460102,2.031896
UC-qUUzLEE1BM8VDWZaE1lrQ,8.397615,10.110484
UC-qrLi0LFsZcMa8iFNSto7A,7.3157487,8.8155155
UC-shWlsEYm5Qd3eaCoWusPw,10.674752,1.7773333
UC-t2zx9mcjh4CR-V4CcGlPg,1.5161115,4.74093
UC-tAztCfSbLUftcrb3r4lHw,6.084177,9.501872
UC-tP9luhDME3Y0yO-WqbbcQ,11.1897745,7.4772353
UC-th9WaXgUbwOoJ1S5mX5uQ,12.369752,2.598167
UC-tukbjmNwzijx2trCa1yHw,2.2523823,7.2829227
UC-uTPn6USADmLGXeBe44aBA,0.60480636,3.1539824
UC-xW1QyTj9XfHwzTWDVarpw,7.144532,2.484549
UC-xnXR4fv772MVr4WUN5uTw,8.302391,9.865027
UC-yPYOzjhFnwzbTJkw4Oo3g,0.15938042,0.07560063
UC-z-vIKgXF_ORkE9pZWZ6EQ,1.3296607,1.7207917
UC0-uMmXdJLxnBsZhnQKIb0w,13.173966,3.5263062
UC0-ysskkXPHysgsUGBYhsGA,7.152407,8.962906
UC007tubOj6VJhslWWKSWnYg,10.700186,1.9531299
UC01O-uumR9ZROb21Hs1Tfwg,-5.177915,2.9673831
UC025gI1MY50e0WLX9KHNScw,12.248582,3.854476
UC04iSUzuD5h5WR9fe-mINjA,13.33165,6.2866573
UC04kVGgTePaBx-2TS6U6VnQ,11.2061,2.46791
UC04o2mBHApVFKXeWRkkITzQ,12.262586,8.298312
UC05d3jeIXecQvsHDqfOJ4Vg,0.27589548,-0.89761055
UC09xnooOZiUMUa7ntYIXcow,12.312432,8.23976
UC0ALhDTSr9cSr69qFh8lcSQ,6.837266,0.85067075
UC0B140mvBpAYyQaQzAt_ZUg,7.4470015,8.875281
