userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,emoji_percentage,caps_ratio,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,comment_velocity,account_age,reply_count,toplevel_count,reply_ratio
UC--2-444iCRIAn6WY6Sg-rQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6656527610498446,-0.9924407096591206,0.0,0.0,0.0
UC--3W4OtfdsEtTUS8AE8lPg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2591309211015741,0.2554044672783154,0.0,0.0,0.0
UC--4DvGTRQZ-4d7MisTbUAA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08379639224694146,0.13405118249082845,0.0,0.0,0.0
UC--6Jr8ZqAjAD4UD320Z4Hw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21405966528605663,-0.5975932314324801,0.0,0.0,0.0
UC--70ql_IxJmhmqXqrkJrWQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2902801023575961,0.36037005033193115,0.0,0.0,0.0
UC--7cQ0Eyu1VkxYqXJCsbNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9455272133700674,-0.5964733924452984,0.0,0.0,0.0
UC--DFTxLcjsJPNmiQ5O3btA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27687107490154916,0.31353560213017456,0.0,0.0,0.0
UC--DU0CsV6WdOT73XBTnHLg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.966059139467713,-2.390126256122512,0.0,1.0,0.0
UC--FsVX4q4Ek_2DD89J5cOg,-0.00902758103913694,0.0,0.0,0.0,0.0,0.4787234042553191,-4.230628120126733,1.5509611961061052,0.9453251391251905,0.0,11.461730796693518,-1.5715538516539957,0.0,3.0,0.0
UC--IPokVM8LPSrAXBubFV1A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5872052225130034,-0.936082857580186,0.0,0.0,0.0
UC--MSnKCveMALdGFLJeCNCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06648008882990947,-0.41265951619603847,0.0,0.0,0.0
UC--Mk5ZRCFyFhZZGim7R8Gg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21959187346892625,0.1389499088798141,0.0,0.0,0.0
UC--RD7KOnjGj0ykxyiBqILw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5486708025187353,-0.9069169710044888,0.0,0.0,0.0
UC--Rv6pPfHw3eu-yU2_azzA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.959619082132212,-1.8779286111588935,0.0,0.0,0.0
UC--Rvh78BIvURlzCsaMvQJg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0596110260931126,-1.2285674290239443,0.0,0.0,0.0
UC--UlKmah7S4ZuRpUQ7r4mQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5046622426317829,-0.8722910139189979,0.0,0.0,0.0
UC--V6Bvqq4nzMmNigg86ATw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2566569335376205,0.24761423848599629,0.0,0.0,0.0
UC--XR0S-85i8DkWZIunuR3w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27413523143291607,0.3042986914486348,0.0,0.0,0.0
UC--abZKOj1KL2WOcPmJOdzA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24577209429642397,0.2141889330203128,0.0,0.0,0.0
UC--bCKm3Hsc6gEf8NKpFe7g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1073067602806856,0.4477796645832341,2.0,-2.0,0.0
UC--cDYbEYfej6NWbj39S0vw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03433630388612169,-0.2571989567513508,0.0,0.0,0.0
UC--eDnT-ySa1LNN8dMKJfMw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20836522009975178,0.1086796518552944,0.0,0.0,0.0
UC--gTrWuPS3KYZFDONGq6kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.335854519704851,-1.6444415641946073,3.0,-2.0,0.0
UC--hpeE3xY14F74Jvjp7VQg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21417281501467922,0.12419956563881501,0.0,0.0,0.0
UC--hzRJ_SAEL-JflXU416Qg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.254513759854294,0.2409247747038783,0.0,0.0,0.0
UC--iY2FpdHszbFU25dUKr_g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1279156428382674,-0.08073179660139673,0.0,0.0,0.0
