feature,dtype,count,null_count,null_pct,mean,std,min,max,median
latency_variance_score,float64,175265,0,0.00%,0.004543139710030947,0.0723073919702439,-0.007356001443681571,7.534236736598045,0.0
unique_comment_ratio,float64,175265,0,0.00%,-0.0023512203156124643,0.03205441086173007,-0.9850746268656716,0.0,0.0
max_duplicate_count,float64,175265,0,0.00%,0.019958348786123868,0.35979367502547366,0.0,66.0,0.0
total_duplicates,float64,175265,0,0.00%,0.03947736285054061,0.6471532871138832,0.0,72.0,0.0
emoji_percentage,float64,175265,0,0.00%,0.0005515095937206894,0.011731869000674447,0.0,0.9671361502347418,0.0
caps_ratio,float64,175265,0,0.00%,0.0021678801435740824,0.03168935299081379,-0.010869565217391304,0.9891304347826086,0.0
circular_mean_hour,float64,175265,0,0.00%,-0.17173517431178364,2.3837341373763503,-14.751075522522143,9.248924477477857,0.0
mean_hour_deviance,float64,175265,0,0.00%,0.0008501523849017131,0.4350837049821425,-2.334798497624676,4.0652015023753245,0.0
std_hour_deviance,float64,175265,0,0.00%,0.015595610313989367,0.4153777893658582,-1.6476453172695618,4.925025372792429,0.0
unique_channel_count,float64,175265,0,0.00%,0.047687787065301114,0.27091431760816553,0.0,5.0,0.0
comment_velocity,float64,175265,0,0.00%,9.925341496955774,547.158479451345,-0.35383536731993015,115854.77985431982,0.0
account_age,float64,175265,0,0.00%,-0.37240012559321417,0.9271132022409746,-6.69326611964237,0.6019368996547662,0.0
reply_count,float64,175265,0,0.00%,0.2838501697429607,1.7547305222416936,0.0,86.0,0.0
toplevel_count,float64,175265,0,0.00%,0.24403046814823268,1.7548623354030108,-2.0,99.0,0.0
reply_ratio,float64,175265,0,0.00%,0.10967859341653938,0.8111477599800214,0.0,65.0,0.0
