feature,dtype,count,null_count,null_pct,mean,std,min,max,median
latency_variance_score,float64,103618,0,0.00%,0.0048775915748346995,0.07704728662621062,-0.009103839917749984,7.532482189748712,0.0
unique_comment_ratio,float64,103618,0,0.00%,-0.0021319098898980446,0.031146308996473533,-0.9705882352941176,0.0,0.0
max_duplicate_count,float64,103618,0,0.00%,0.017014418344303114,0.31086131418420415,0.0,33.0,0.0
total_duplicates,float64,103618,0,0.00%,0.03160647763902025,0.5089079647788439,0.0,34.0,0.0
emoji_percentage,float64,103618,0,0.00%,-1.0423140365142662e-17,1.0000048254513605,-0.04284957665648551,108.18965635567429,-0.04284957665648551
caps_ratio,float64,103618,0,0.00%,1.2699773655423822e-16,1.0000048254513605,-0.4256550202476347,34.09502298834632,-0.05841376483706068
circular_mean_hour,float64,103618,0,0.00%,4.193942531132402e-16,1.0000048254513607,-6.893880882478041,5.096253386947754,0.04734241284274506
mean_hour_deviance,float64,103618,0,0.00%,-1.1122587942277234e-16,1.0000048254513607,-5.178445029232735,10.545936276463005,-0.013665707685086027
std_hour_deviance,float64,103618,0,0.00%,4.4984079470615696e-17,1.0000048254513607,-3.482991150381406,14.343965259133292,-0.055955264527000816
unique_channel_count,float64,103618,0,0.00%,0.02463857630913548,0.1876366731434427,0.0,4.0,0.0
comment_velocity,float64,103618,0,0.00%,-4.800130431315699e-18,1.0000048254513605,-0.08662529842933436,135.14988975430015,-0.07859857011317956
account_age,float64,103618,0,0.00%,3.5064952800761185e-16,1.0000048254513607,-5.365350986186928,1.0668065091159216,0.4005769355232787
reply_count,float64,103618,0,0.00%,0.23962052925167443,1.4348948953950773,0.0,64.0,0.0
toplevel_count,float64,103618,0,0.00%,0.12684089636935666,1.2200648149218394,-2.0,56.0,0.0
reply_ratio,float64,103618,0,0.00%,0.09956907180405852,0.7199062764954659,0.0,40.0,0.0
