userId,umap_1,umap_2
UC--FsVX4q4Ek_2DD89J5cOg,14.925183,4.715086
UC-1YF8d0KYSg3ksrpQJi3Kw,18.154861,5.352727
UC-3Nj6oYW1QqHjBmm3iL-oQ,0.28946906,-3.7297876
UC-3PP_G2wsXPI0In8hr1z4A,2.703095,1.5609151
UC-3rwZnz8xmpX4wByAA5CQw,-6.550444,-9.93896
UC-4JFXwbKLjHEpRYu22yROQ,-1.0982196,0.52396303
UC-7-qCkA4GVQznRkXeop4Lw,-1.5861111,-3.9794698
UC-7CsrBveGCDiDQtCSi75NA,-2.4852514,-1.7179959
UC-7UGGUfegIlYvAMQEEZoWA,4.127438,3.3701866
UC-8JKGrT19vvhAvsSxAYjSQ,10.479799,4.4396825
UC-8SI97g7bH6iCOyRhC6Emg,6.2149124,2.9104857
UC-9oSS0x2AoD2EC2WWP6XgA,-2.3162162,-0.73481315
UC-AAsyvqCmt4FS4x02OFxxQ,2.0783148,-1.7647887
UC-AbeGBC9-f2huFbou2g-zQ,-1.0684139,1.4174057
UC-B97mdpY4nQf6U5g5sLgAw,1.0145648,4.104275
UC-BU1Oft2db2OJGvjJu0cVQ,0.11675227,1.6813816
UC-E_u0tONL7jX233EX8yy1A,0.0804021,-4.056723
UC-EzdIsompamqS86hM6BoFw,2.3458424,2.3652909
UC-ISj9vvmY4p2GaXHlCJrtw,2.9590724,4.464548
UC-JVRGWnjzZuEGi88c9eLAA,11.8236685,4.6442194
UC-LDOX6xdSyeUiFMggIRC0w,-6.9886236,-11.7046
UC-NuZui4n3wDtTmgMBKT9Sg,0.22019531,-3.69403
UC-Nw5S0c6bq3ldlu9CT-GHw,5.7333145,3.3076005
UC-OYdlMvgSQIzV9mhqVLnRg,-2.7912812,-2.3196583
UC-PDPi-5c3jTo6E1lizbJFg,9.082008,2.2763855
UC-PETw1P1_voShih9WRmkMg,3.6015663,2.1505072
UC-RAnK0D2x7DewvatyRqcHQ,4.5666623,2.0870678
UC-S7pAVa8NuLbGZRT--xCBg,0.25277144,2.01484
UC-T9vpeDnjGxmKSzIiM920A,2.873099,1.3953189
UC-TdHGwX918DS0qknMVDUUQ,4.139089,1.9240623
UC-UGpuEQAvfwbzcdAWvBLeA,9.681224,4.181905
UC-W82dsdqQfqgyuHRSalQBw,3.980974,1.7260131
UC-WgwqxLnjpffl0hPn3hS-g,18.302132,5.4149456
UC-XCNEk1uZcaM4h-rNp-3cw,3.1437328,4.526431
UC-XFuI62LLtCjTXM2Kd74Xg,2.7484927,4.8385983
UC-XRuhdgwtAU3ZPyHp8v3ZA,0.63921404,4.132619
UC-XwCzDwf3LWXpkMYHQ2RlQ,1.407484,4.37728
UC-ZDi9r-41GiPdxTe3HwebA,3.3829854,1.608106
UC-_rI_t4-KRvrbgWFEZa5uA,2.8323724,3.9330494
UC-aQ1VwwK6EsHxkO2s4MQ1Q,1.9017384,-0.16198015
UC-bNysdfGc8M00JORt9wFSw,8.020783,4.852772
UC-bPEgY4UCenObQ02iWK0cQ,6.803208,3.8013227
UC-bu3cnBZmFtmOd3JOlhtng,-0.6778526,-0.48662457
UC-dRtPqdUtIYwsYfxnp_t4g,5.8019543,3.3255832
UC-dXrO29mz1F846RHJAPS-Q,-6.392875,-9.912937
UC-dtn_v6-lmpa6j7Vwl-BgQ,17.820581,5.233509
UC-edhzZuiP2P19s_tu88CQg,9.262919,2.1107833
UC-gCpMc94-3CWd9MJw107_w,2.5894418,-0.5943903
UC-h6mJDreiBJG8fPtQ3OA-g,0.96112186,-0.2862882
UC-jznjjSTKr15h65W95yDoA,-0.16204274,0.21270038
UC-k-axvrivMCH12r4Lg9tbQ,-7.004085,-10.822863
UC-k0fXW2TZgXNyZiAPK_AQQ,-3.4889967,-1.3973719
UC-kAVBFQAr54Etg76uska7g,-0.18688568,-4.48627
UC-kEpkvZNXjfm0eeLljdiPw,6.8074813,5.118084
UC-mWbS71hcXLB0jOqv8-Z7Q,-6.017208,-12.674635
UC-mwgFQEo2PS0IGEHAJpoYg,2.3915212,-0.63946646
UC-nf2ZdwpfjBQYW79Gi1AHA,0.34677705,0.10974831
UC-nyyAcb8rt4vTYr2HbMUAg,-1.6093384,-0.7695142
UC-p42GezfAlIR-YMhvst8jg,2.2095976,-0.10738168
UC-pSt_GMFA_b-owUKoE8KOw,3.3595147,0.075658776
UC-qUUzLEE1BM8VDWZaE1lrQ,4.4850073,3.8070955
UC-qrLi0LFsZcMa8iFNSto7A,1.4206344,-1.2874508
UC-shWlsEYm5Qd3eaCoWusPw,8.352173,4.8977733
UC-t2zx9mcjh4CR-V4CcGlPg,-3.0508544,-3.559827
UC-tAztCfSbLUftcrb3r4lHw,-1.1795037,1.1048464
UC-tP9luhDME3Y0yO-WqbbcQ,1.1547533,-0.41927007
UC-th9WaXgUbwOoJ1S5mX5uQ,4.543942,3.09827
UC-tukbjmNwzijx2trCa1yHw,-3.717704,-3.0958633
UC-uTPn6USADmLGXeBe44aBA,-7.2414346,-10.684676
UC-xW1QyTj9XfHwzTWDVarpw,2.1704547,2.3042395
UC-xnXR4fv772MVr4WUN5uTw,2.4637015,2.4616103
UC-yPYOzjhFnwzbTJkw4Oo3g,10.259016,2.1414812
UC-z-vIKgXF_ORkE9pZWZ6EQ,-0.20107198,-4.5132623
UC0-uMmXdJLxnBsZhnQKIb0w,3.353705,1.525542
UC0-ysskkXPHysgsUGBYhsGA,0.9968286,-1.3611726
UC007tubOj6VJhslWWKSWnYg,3.4320855,0.24554197
UC01O-uumR9ZROb21Hs1Tfwg,16.149847,4.9724455
UC025gI1MY50e0WLX9KHNScw,5.501624,3.351078
UC04iSUzuD5h5WR9fe-mINjA,14.170988,4.6798167
UC04kVGgTePaBx-2TS6U6VnQ,1.5058801,-1.185231
UC04o2mBHApVFKXeWRkkITzQ,3.2049468,2.297618
UC05d3jeIXecQvsHDqfOJ4Vg,-6.344807,-9.81727
UC09xnooOZiUMUa7ntYIXcow,1.8424863,4.7484875
UC0ALhDTSr9cSr69qFh8lcSQ,-1.2084233,-1.9540404
UC0B140mvBpAYyQaQzAt_ZUg,1.8172568,-0.5214031
UC0B4K8eXgbayzhjXCr3Gb6w,4.903917,3.4817154
UC0CSjZtlEdmz4reiLuSLY_w,10.020865,4.9594474
UC0Emt6egSgzy6-3Lv6-tMWw,10.054406,2.1769598
UC0EtW3yQzTBYwrRBFh7aEcg,-1.2590933,0.91915625
UC0FCSAxhpuGQTQRzsF4KrSQ,14.395833,4.1290956
UC0FWQr_e5lJCEGvqYZ8LW8w,-3.5526576,-1.364152
UC0JK4HrDpgWyWOLeMdCeU9g,8.5644045,4.1012554
UC0L1X3iro6II3nJB0ySwmpg,-1.1632576,1.3803996
UC0Lv5YLenCRITzqrIBIPAPQ,16.358849,4.975761
UC0MY8ErvkPIu65fCEGBmmWQ,-6.059345,-12.696352
UC0NgDwAaPqWvrlXwzJq-eow,-6.251804,-10.630473
UC0P7ZJSN8jgQFvUXVAlTnfw,-0.47020176,1.4391198
UC0Pah0FnvKA1xJ_Ts-ajulg,5.318566,2.2409632
UC0Qpf8nNz09Cu2bJ-vtfkHg,10.362701,2.2346697
UC0R8mCvGGGEEKMgWJmAoxtA,9.172557,3.248992
UC0RSVKxl1or-AIBO6lbaEKQ,-3.739981,-3.0664654
UC0STFkkGT2ZDc18gZp1QjTg,-2.132924,-0.7776401
UC0TrFwDaV06zckO6v5f6mIQ,-0.21629612,-4.515328
UC0VRhMJvKrtMCEYdRCQReVw,7.6053658,2.6915662
UC0WmntVL_fy1qRU_fhyvJnQ,-3.042124,-2.6523163
UC0WtOA7yunwSsSiy_OmLq0g,2.3677382,3.2652636
UC0XuK0OcU1tj9i_ksTZeayg,-2.8442512,-2.239887
UC0Ype554r1Bz6DkNMPiBc9A,2.958999,4.9185658
UC0a8VrAO1wApos7B8dNQNMQ,-1.9367597,-0.80067164
UC0aA0vamcbHv0tif7rDY4UQ,4.303504,3.6570404
UC0bD9jiD7wlQlYgIxzVZzBg,4.9560685,3.9736435
UC0bN8JagMTQ1ywkfOTYCPAA,1.9084051,1.2242908
UC0bf0SDC-epak0Q24x985dA,9.839199,2.762449
UC0ceZLTdPJQhwrt5pf7Q3vA,7.2383723,4.9733377
UC0cgJ93XWryCESv7H_XyJPw,-6.315895,-9.870293
UC0cuFt4J3uYqRZcbsxHLZuw,9.165272,4.78845
UC0d4HVGkA4MvrWfrefCbR_g,-3.0296504,-1.9098344
UC0hnhAzWDUfUGDiTNDtPaKg,-6.3596663,-9.98497
UC0jJxJsBKdyLKNMM81Fb1Ng,7.787806,2.1965137
UC0jYnPQ3azaq0WyopIn_hYA,7.5304394,4.978022
UC0jjiAQJwS8oqPWAKYVY2nw,3.1483529,-0.12341556
UC0k_vomz2tNwySnlk3Zs5Rg,-6.7269907,-10.617061
UC0lETRLeo0sWFMUgx_arffA,1.2943088,0.614953
UC0lg9ewe4uVGFvEVbfCW7XQ,-1.098625,0.77559626
UC0m-h-L5fnz-01ZDmiUhERg,-6.530544,-9.956036
UC0mwka0AAqmYFilSucI0MtQ,7.753631,2.2249198
UC0nPIiUXNalTlxDnkt_XowA,7.011168,4.6138673
UC0nhSdpIFWWJbwn5w1J1dJg,-3.4871485,-1.4451749
UC0o6Pm-SRQSvCjLQwlL9wfg,18.250166,5.384882
UC0ps7AWv5TuIsngMzdxMUOA,1.7629844,2.93895
UC0qMcKM_p4Vp5lDM7sSOlZQ,11.095753,4.1554904
UC0ss0Q6It-5M5sC8A-byypw,-6.308607,-12.393084
UC0viMufzTU9aYptcTaSr_UQ,-0.86151606,0.6268224
UC0yv-OovB0Gm2FDLILaDHAA,6.99176,5.072869
UC0zy_5p_Cekk9SJlvz0aFmg,0.9636046,-2.4622617
UC1097hTvhbfwlob-QabxODw,3.9693334,1.7314721
UC13bTSnfoE6-yCX_VxpJAKg,2.7223377,4.8095236
UC15g0XAgYN2S9VXFYS0mMOA,4.8366613,2.9618828
UC178EW-8X5DhhH7CbE0x30A,16.19552,4.9822173
UC178K2GpAD3ixne4n9bc3Sg,4.6693754,3.1232057
UC19_brJuQg39ocRlhv-J1FQ,0.84670913,-1.0210316
UC19lAxVK1IKP2q02012gxJQ,4.085143,1.9657778
UC19vDD0xuulm-XddkcozXbw,1.5107712,0.9002443
UC1BK8uYkW2kZFH2JpjSkvyw,1.1631033,-2.4163458
UC1DGACDHQr-2psPAk9Nr-Fg,-0.9219822,-1.8215536
UC1ESGKRTPh_MTwT08XPVMDQ,0.16673045,1.8115975
UC1F5xbRoE-T_YEcy6XFPsMA,-3.6832175,-2.711377
UC1FVFKyx2KcJIT899O-FsUQ,3.7742386,2.3277242
UC1FY06yrvjVD8v1CEEqHmDA,2.5334265,4.2672977
UC1JbxMi_Zv6VeWSLahrbVxQ,4.5039873,4.7652736
UC1K6jBYLly7LD1GvH31uJ9Q,-0.9744468,1.1441433
UC1K6y3vwIyi767YFiV3sPgw,-1.497825,-4.0693145
UC1Lw2zuslznBBzq3aR4hT4g,7.87857,2.3483725
UC1PZN8T53aaa2T2G6t2qu0A,2.4026847,-0.7207642
UC1Q3T4ZSDZTr7X_Fo6oAkxw,-0.78522015,-0.56112975
UC1SgB6EBoN-7MSL4vlJZCKA,12.811606,4.5372605
UC1Vubzpcxtyd1h0z5h813nA,5.6278977,2.7674901
UC1WwkL3Oedh9vKzDrUdAQsg,8.366383,5.0869207
UC1Ybc_HA5Gy-vScsaO3gOTg,5.46487,3.32961
UC1ZhA4pAPE3yV7pwR-6fF3Q,7.2986646,3.9487362
UC1_yIinfNbWInCUj59ZaGQg,1.5086663,1.2422304
UC1d0iP0k7JQzOlVYzemM8rg,9.430284,5.142683
UC1fjvIU-p43y8tgyUMH6A4w,5.398348,5.1515665
UC1gAxNW48V2LUejs6Hh7MUA,-6.69257,-10.7202015
UC1gGxPtQgGVe6BeRY6nA9Vw,-6.573351,-10.398587
UC1hbivnVC5srFXFHFRddb_g,8.198282,4.8199015
UC1i8xDoIwEynr-AYgZ8wMYQ,14.461907,4.2816744
UC1ig_r4dKD--Rn81iwTLkdw,-1.3698758,-2.224891
UC1ipeFUAJEcExghnzuI-R2g,13.560011,4.59309
UC1jGCBnlGYRQF3-8QrAcFRA,7.167931,3.8357766
UC1mT-pNI5yc2PCORvvC2M1Q,2.137406,4.7231045
UC1ohzUUnpwG_hH2xCVgId8w,-6.074065,-12.504712
UC1pAiw_R2lQfCC_fTdxkWPA,0.68214643,4.170288
UC1pcDtNf5SpnasVTawbLeSg,-1.9697891,-0.7309078
UC1q6FvCP8TIaNrS8HncMFGg,5.4604573,2.1850128
UC1q9Hue0A8JjCrW4LG-v5bA,14.568808,4.4680786
UC1qdCRkGSO0kUnmCi78Wmjg,8.413417,4.970313
UC1qhTWmjLxasqDsx0tiIswg,2.2951858,-0.20052779
UC1sCQrneggy6dr91CTJmbdw,9.118759,5.073035
UC1saEQ0b2qE12Pd8C5N08Lg,-3.0558746,-3.6501372
UC1uyEUXbFjsCaRWgM4hQK5Q,1.6720144,-0.51496875
UC1v8CKUyRK7I96rGss146Sw,12.347911,4.516213
UC1wGFcfiIw9h1ufd9p-mx_A,3.7075465,2.2006302
UC1xYeInNy3E4eTcZvnt1cZg,5.4860625,4.806756
UC1xwbtx-4X5LHS7zXM5VmCg,0.66199815,4.257414
UC2-04aOECX8Sv7TO8fKZynw,-6.305726,-12.836796
UC24fyZRs2_oDc7SDsftguLQ,-7.0432863,-11.626353
UC25D-qOqoscFTegm7tthTGA,15.521305,4.840403
UC25Rc78s5wAfXa6XO21mkLA,-1.0301529,1.0512172
UC25m-hK3Y2apJHXX1U4qh5Q,2.5480506,0.6300396
UC25yTpQxtfwOAKxmaZ0Qd6Q,4.7340627,3.009072
UC26QvVvAcpQHXLdlNRZ20hQ,-6.050908,-12.641745
UC26WMjABV42q64Nzn620i0Q,-0.54664725,1.5888051
UC27bsIR1rlIZwQPphj2uxdA,3.1273725,-0.34753647
UC29AQCQZRSBpPKCa_PDV-jQ,4.7214417,4.042457
UC29Q8C0ZR51rpCHgSWtXhew,9.079569,4.8088884
UC2ARbzc3qI6cRSdO1glEWJg,-1.3357582,-2.0335875
UC2AoKEeDzqbSlXcJ9Ev74kQ,10.268423,2.1714857
UC2B1Z1N8t3CzrS3MKqB9znw,3.2093165,-0.08320171
