userId,unique_comment_ratio,max_duplicate_count,total_duplicates,circular_mean_hour,mean_hour_deviance,std_hour_deviance,commentCount,reply_count,toplevel_count,reply_ratio
UCBwnURYeGWKdoJ0QK5-apoA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0
UCBwolKyqNiOkIsUFKSipj3Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCBwq7RZkkd9gpgD-0qpAwZg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.034482758620689655,0.0125
UCBx_i0BVMv75jIluAWJ4w8A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCBxfhbI2rtj3kZKbcFKyh1Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.017241379310344827,0.025
UCBxkByY1UJipy3_oXOhs-9A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCBxu09RtRdPp0Sr8uQmD2ow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCBxxbIfdHNSO7toxQPG0WwA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.034482758620689655,0.0125
UCBy6rGLybMika-yEK4eF--g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCByTTybpLdSIRP4cNqAn-WA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCBy_ptaNwfZSRZfx0bnAlKw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCByjphlqUZXcZqMT6PG-DNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.034482758620689655,0.0125
UCBz2hGu1Hgnh4I4atjVWp-A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCBzAJvJ-QqHnb4w1jyx-WTw,0.0,0.0,0.0,8.127415603343294,-1.0643901179397286,0.6538351247253678,5.0,0.171875,0.017241379310344827,0.275
UCBzFY-vCCgOxhjT4RjaoZ6w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.034482758620689655,0.025
UCBzamU_mdqKlSwMUZRNQ3FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCBzbWH_JayLxegyl2UsPnDw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05172413793103448,0.0
UCBziQwuJWT36q4SfOYggOPw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC--L4dyKFj1pnHZwE9cl6A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
UCC-B9rjDcn2Y3R7BROg3otw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0
